Age (Ma),GMST_degC
4.543,3.4907709880297784
4.542,3.4356530434757038
4.541,3.399014562336455
4.54,3.3294709048344564
4.539,3.0943859351545058
4.538,3.0902428779168827
4.537,2.993017069855494
4.536,2.9773502376536776
4.535,2.924029451211312
4.534,3.6326202693211656
4.533,2.8425305417530033
4.532,2.7930166448085405
4.531,2.847099078453515
4.53,2.8338701238831985
4.529,2.9084083850917484
4.528,2.907100231417446
4.527,3.0542028322358767
4.526,3.075358618051959
4.525,3.0839573121654813
4.524,3.0925512709690013
4.523,3.0404349900744987
4.522,2.9659930091055977
4.521,3.1403706536125906
4.52,3.144621796626427
4.519,3.1385743431873956
4.518,3.1279717881485185
4.517,3.1289057486331635
4.516,3.146407539197371
4.515,2.8556723195889915
4.514,3.204111935861908
4.513,3.244522886074587
4.512,3.975985403278396
4.511,3.2456044660118426
4.51,3.475593547309234
4.509,3.678402746759671
4.508,4.18902535141317
4.507,3.4327732811331866
4.506,3.418849949221262
4.505,3.407823574956506
4.504,3.396789066407899
4.503,3.4150248397409766
4.502,3.4332383865889846
4.501,3.347265066795251
4.5,3.429366150745658
4.499,3.4282354881730672
4.498,3.4687122840700337
4.497,3.5306187488885987
4.496,3.592265811490222
4.495,3.6422372777379945
4.494,3.6691283605929925
4.493,3.296265136180124
4.492,3.7182111133014204
4.491,3.65965443158516
4.49,3.7831220955659495
4.489,3.8246684848688517
4.488,3.8294332713306423
4.487,3.8667889077065594
4.486,3.88817392854745
4.485,3.9095263256891197
4.484,3.9459426326078773
4.483,3.9876095032927292
4.482,3.9966561209695186
4.481,4.070566908883916
4.48,4.015946934872217
4.479,4.207749889889182
4.478,4.140990300455534
4.477,4.149779445983721
4.476,4.163786861311955
4.475,4.142333063600756
4.474,4.055685264714145
4.473,3.969367082411811
4.472,3.8957487686406704
4.471,3.85146700322328
4.47,3.4857932552043023
4.469,3.9539301475924367
4.468,3.3940134010173715
4.467,3.3705603996894844
4.466,3.3470707503610586
4.465,3.3113883187085715
4.464,3.2161355080488296
4.463,3.1488257177921204
4.462,3.083251999018353
4.461,3.0930991773020593
4.46,3.0649553947855193
4.459,3.1262544760205855
4.458,3.2849831643312353
4.457,3.431950784835
4.456,3.5774838063709233
4.455,3.5830899174942052
4.454,3.5886938778716653
4.453,3.595301776596213
4.452,3.550616472625207
4.451,3.6016803295036075
4.45,3.5252626426383973
4.449,3.7503630630301
4.448,3.7271703788193564
4.447,3.777679123919638
4.446,4.29021337069285
4.445,3.775877777833102
4.444,3.764429682181003
4.443,3.60159389092779
4.442,3.7527432768746642
4.441,3.7601917484929346
4.44,3.6454840692986323
4.439,3.71935808377546
4.438,3.6790216752711893
4.437,3.704943380461451
4.436,3.7308183892266014
4.435,3.737613683306048
4.434,3.6821554101636167
4.433,3.727595888278979
4.432,3.722584361374377
4.431,3.5842673022826106
4.43,3.733607093255233
4.429,3.722515580506646
4.428,3.7114154752275956
4.427,3.615030974182452
4.426,3.5840630355463388
4.425,4.02007028381282
4.424,3.827477665364959
4.423,3.5100366709427577
4.422,3.4879026788397938
4.421,3.481819824095542
4.42,3.542688570765303
4.419,3.3985331678380004
4.418,3.385101383479084
4.417,3.356116230378961
4.416,3.348512140607178
4.415,3.3436797882883216
4.414,3.3381737403080867
4.413,3.353666972106321
4.412,3.3691442877627953
4.411,3.620641205020112
4.41,3.366866578110799
4.409,3.423666504974021
4.408,3.458060309361042
4.407,3.296474829503924
4.406,3.366149101354518
4.405,3.4225189764319617
4.404,3.614178534049067
4.403,3.518229254364889
4.402,3.603295585318127
4.401,4.205600768951242
4.4,3.8438196323845206
4.399,3.8766975492577505
4.398,3.8812117551244922
4.397,3.892346564866963
4.396,3.9487002923399754
4.395,4.00606824505824
4.394,4.016487116078245
4.393,3.8882081963323856
4.392,4.177307671149311
4.391,4.195721198580038
4.39,4.070119132918874
4.389,4.088636272045151
4.388,4.104385217095782
4.387,4.109928549678663
4.386,4.087837444509352
4.385,4.092178582200351
4.384,4.09385023488096
4.383,4.090346116462049
4.382,4.110952039896997
4.381,4.10504646940099
4.38,4.035258036019383
4.379,3.745459010767616
4.378,3.7133110336781368
4.377,3.6702652152659674
4.376,3.666041328087064
4.375,3.683289842212228
4.374,3.8398346040727223
4.373,3.7783645437802624
4.372,3.720412422488486
4.371,3.6854149117385546
4.37,3.7076307435641858
4.369,3.7056207042221514
4.368,3.7078999253437197
4.367,3.7154240797912275
4.366,3.761133727107522
4.365,3.6689624673099375
4.364,3.766429429554492
4.363,3.775006518993868
4.362,3.7390792717783956
4.361,3.7053359201409597
4.36,3.7033118314574844
4.359,3.8836433022767247
4.358,3.807747420710869
4.357,3.7314424916309465
4.356,4.07649941997422
4.355,3.6896438587949802
4.354,3.7375492654117877
4.353,3.785294704796001
4.352,3.7079023686724324
4.351,3.668586894135448
4.35,3.621544112238956
4.349,3.5663395741145316
4.348,3.5247785471446615
4.347,3.483099873050297
4.346,3.4648080733223345
4.345,3.4649227686972464
4.344,3.155545985841174
4.343,3.5094634756729772
4.342,3.5675668344043787
4.341,3.5768352999986357
4.34,3.501950229371128
4.339,3.7329025751173175
4.338,3.3637303198836594
4.337,3.654755978543013
4.336,3.6720853282994055
4.335,3.7663583101468574
4.334,3.671711338013125
4.333,3.9228299868760113
4.332,3.6433587221364654
4.331,3.62629600547668
4.33,3.6116614397379756
4.329,3.593246258063032
4.328,3.647695715522859
4.327,3.7106179276551594
4.326,3.7193573183921163
4.325,3.7280913854276343
4.324,3.7178964638322114
4.323,3.7076942866875497
4.322,3.6974848551667794
4.321,3.9379509256813003
4.32,4.006147661428443
4.319,4.121566873142659
4.318,4.024257556166465
4.317,3.9836853023531527
4.316,3.865190622201032
4.315,4.040418011790756
4.314,3.964260972877417
4.313,4.01255687439442
4.312,4.185513501913778
4.311,4.24962722838403
4.31,4.260692155995401
4.309,4.245250961557292
4.308,4.21586270196407
4.307,4.186887070604741
4.306,4.157848645892029
4.305,4.128747427093377
4.304,4.1636819907606535
4.303,4.198526026067476
4.302,4.263993742741904
4.301,3.966876658167277
4.3,4.419090386777807
4.299,4.158702588058658
4.298,4.367717537983365
4.297,4.320421653125667
4.296,4.272954819639069
4.295,4.063689884962348
4.294,4.181091635153613
4.293,4.052374072682608
4.292,4.0526963871263835
4.291,4.055421128877385
4.29,4.3061827411557445
4.289,4.077129303940702
4.288,4.096086855251435
4.287,4.085288001752305
4.286,4.068756315499578
4.285,4.167650535634744
4.284,4.19263032142503
4.283,4.348092206659569
4.282,4.372929727340192
4.281,4.367501758376268
4.28,4.361638325034663
4.279,4.132326369956636
4.278,4.179265737592579
4.277,4.135949080230915
4.276,4.0924930030945905
4.275,4.055697141023978
4.274,4.022282767295199
4.273,4.027052945862586
4.272,4.031821466422732
4.271,4.090533807338646
4.27,4.132212182618002
